OBJECTID;pointid;grid_code;POINT_X;POINT_Y
236;1590904;9.899999619;533175.75;152667.75
237;1590905;8.199999809;533176.25;152667.75
238;1590906;5.800000191;533176.75;152667.75
239;1590907;11;533177.25;152667.75
240;1590908;9.5;533177.75;152667.75
241;1590909;8.800000191;533178.25;152667.75
242;1590910;8.699999809;533178.75;152667.75
243;1590911;8.899999619;533179.25;152667.75
244;1590912;9;533179.75;152667.75
245;1590913;9.300000191;533180.25;152667.75
246;1590914;7;533180.75;152667.75
247;1590915;6.400000095;533181.75;152667.75
248;1590916;7.400000095;533182.25;152667.75
249;1590917;8.699999809;533183.25;152667.75
250;1590918;8.899999619;533183.75;152667.75
251;1590919;4.800000191;533184.25;152667.75
252;1590920;5.5;533184.75;152667.75
253;1590921;7.5;533185.25;152667.75
254;1590922;6.400000095;533185.75;152667.75
255;1590923;9;533186.25;152667.75
256;1590924;9.699999809;533186.75;152667.75
257;1590925;8.699999809;533187.25;152667.75
258;1590926;10.30000019;533187.75;152667.75
259;1590927;7.900000095;533188.25;152667.75
260;1590928;5.199999809;533188.75;152667.75
261;1590929;6.099999905;533189.25;152667.75
265;1592104;5;533172.25;152667.25
266;1592105;4.800000191;533172.75;152667.25
267;1592106;5;533173.25;152667.25
268;1592107;7;533173.75;152667.25
269;1592108;7.699999809;533174.25;152667.25
270;1592109;6.699999809;533174.75;152667.25
271;1592110;8.300000191;533175.25;152667.25
272;1592111;7.5;533175.75;152667.25
273;1592112;6.900000095;533176.25;152667.25
274;1592113;7.699999809;533176.75;152667.25
275;1592114;9.899999619;533177.25;152667.25
276;1592115;9.899999619;533177.75;152667.25
277;1592116;10.10000038;533178.25;152667.25
278;1592117;9.800000191;533178.75;152667.25
279;1592118;8.600000381;533179.25;152667.25
280;1592119;8.199999809;533179.75;152667.25
281;1592120;9;533180.25;152667.25
282;1592121;4.699999809;533180.75;152667.25
283;1592122;6;533181.75;152667.25
284;1592123;7.400000095;533182.25;152667.25
285;1592124;9.5;533182.75;152667.25
286;1592125;9.899999619;533183.25;152667.25
287;1592126;8.399999619;533183.75;152667.25
288;1592127;9;533184.25;152667.25
289;1592128;8.600000381;533184.75;152667.25
290;1592129;9.300000191;533185.25;152667.25
291;1592130;6.699999809;533185.75;152667.25
292;1592131;8.800000191;533186.25;152667.25
293;1592132;9.899999619;533186.75;152667.25
294;1592133;9.5;533187.25;152667.25
295;1592134;9;533187.75;152667.25
296;1592135;5.800000191;533188.25;152667.25
297;1592136;6.400000095;533188.75;152667.25
298;1592137;4.900000095;533191.25;152667.25
300;1593332;5.099999905;533172.25;152666.75
301;1593333;4.099999905;533172.75;152666.75
302;1593334;8.399999619;533173.25;152666.75
