533089.52 152777.86 7.10 11.90 184.25
533081.30 153150.37 11.70 20.40 174.75
533292.64 152721.19 11.79 17.90 177.25
532801.03 152393.10 7.94 20.20 46.00
533104.06 152956.38 6.59 12.40 201.00
533460.35 152303.26 7.23 12.20 167.50
532927.78 152614.05 5.68 8.40 63.75
532972.66 152239.69 4.90 9.40 27.50
533095.25 152878.22 9.21 16.00 180.75
533188.23 152851.38 5.90 10.80 77.50
532747.75 152497.96 6.00 16.60 129.50
532774.71 152288.39 4.43 18.00 87.00
533179.20 152625.58 6.25 13.00 131.25
532857.58 152106.74 3.63 4.80 12.00
532973.61 152379.69 9.43 17.10 177.50
533207.44 152418.75 4.25 18.50 63.00
533408.73 152212.76 6.90 17.00 50.00
533317.43 152343.54 6.81 11.10 205.25
533118.11 152474.73 6.49 18.00 21.75
533420.72 152411.21 6.12 12.40 166.75
533121.53 152811.32 8.00 15.30 166.25
532794.02 152612.07 4.48 7.60 99.00
533061.66 152996.97 7.13 12.00 68.50
532680.36 152328.68 5.25 8.20 94.00
532910.65 152236.79 4.87 7.70 70.75
533502.08 152531.41 5.61 11.60 82.75
533288.52 152603.46 4.98 8.10 127.50
533397.57 152717.31 15.00 19.70 126.50
532701.42 152159.31 4.53 10.90 19.50
533300.99 152695.39 16.99 20.60 168.50
533201.87 152376.12 5.31 15.90 138.00
533476.18 152331.99 4.67 7.10 96.50
533162.53 152567.49 6.69 19.50 133.75
533014.60 152644.35 5.08 7.50 133.50
532823.05 152335.46 7.82 11.70 136.00
533050.23 152360.92 5.47 8.40 98.25
533155.89 152882.64 19.01 24.50 209.75
532691.55 152226.35 4.32 8.40 40.50
533365.41 152450.12 15.72 19.20 9.50
533067.68 153202.06 7.54 15.60 190.75
533067.51 152416.72 9.65 16.70 69.00
533369.86 152655.92 4.84 7.60 102.00
533186.26 152790.30 20.08 25.80 263.50
533112.59 152850.14 8.10 14.10 181.25
533207.83 152893.45 5.93 8.60 76.50
533373.96 152350.15 7.22 11.80 198.25
533209.03 152639.31 9.67 14.90 231.00
533170.77 152839.58 14.06 18.40 201.25
532994.15 153071.37 6.60 11.90 115.00
533276.28 152770.93 9.25 15.80 226.50
532952.27 152972.55 5.82 10.10 97.50
532685.33 151985.56 12.96 17.00 219.75
533138.56 153004.10 8.82 14.00 125.25
532990.95 152509.23 13.77 25.70 25.75
533236.62 152751.96 19.44 23.40 200.50
533045.89 153069.52 6.00 10.80 67.25
532818.83 152493.05 9.17 22.10 50.25
532852.06 152645.02 4.13 6.60 34.00
533051.28 152703.61 7.24 7.90 31.50
533498.63 152582.06 10.82 17.60 102.50
532960.33 152911.70 6.86 13.60 134.75
533154.07 152475.31 5.65 15.90 114.50
532827.04 152672.64 5.07 8.40 59.50
533215.03 152729.54 7.99 16.70 246.25
533027.44 152930.26 5.25 12.10 24.25
532741.20 152065.70 6.94 18.00 15.00
533345.98 152706.87 16.31 23.60 166.75
533079.91 152580.04 6.32 17.80 63.75
532644.50 152198.07 3.99 5.10 35.75
532623.87 152000.49 15.79 19.10 253.75
532776.85 152247.61 6.78 17.20 92.50
533484.01 152734.26 14.47 21.80 121.50
533128.34 152880.89 17.24 23.00 200.75
533029.92 152214.34 4.12 5.70 23.25
533432.31 152617.33 8.65 15.30 125.75
533200.98 152533.88 5.62 19.40 49.50
532971.03 152431.89 7.34 14.20 85.75
533140.31 152937.10 23.83 31.20 157.50
533324.38 152600.16 10.93 16.50 151.00
533462.55 152728.79 8.86 18.00 125.00
532721.31 152422.54 6.47 9.80 52.50
533131.77 152804.06 12.14 18.30 186.25
532934.85 152213.63 4.83 15.80 63.50
532861.71 152392.76 6.28 18.70 55.00
533476.66 152595.18 9.21 15.80 179.25
533230.55 152703.79 5.40 12.00 108.75
532892.23 152249.49 5.60 18.40 38.75
533146.17 152921.17 22.43 29.10 224.00
533099.19 153035.45 10.91 18.00 174.00
532632.22 151954.26 11.21 15.40 186.25
533025.31 153091.92 6.84 14.90 59.00
533045.42 152883.72 5.93 11.90 80.75
533426.39 152555.44 5.62 9.70 77.50
533245.32 152552.05 5.03 17.20 130.50
532900.63 152489.11 11.35 19.90 24.25
533252.62 152614.52 7.95 14.80 115.50
532619.25 151960.22 12.59 16.20 181.25
533111.38 153136.71 13.27 26.00 84.00
533102.95 153167.59 4.46 10.80 39.50
533473.60 152528.49 6.28 12.10 91.00
533431.36 152346.93 5.18 8.40 205.50
533118.79 152942.44 9.60 16.00 242.75
533150.24 152968.95 7.39 13.90 149.50
533308.90 152470.55 4.87 19.20 69.75
533334.39 152678.40 7.25 10.70 153.50
533308.35 152447.48 5.20 16.80 85.75
532648.46 152016.22 13.04 18.10 201.00
533202.08 152935.82 5.85 8.50 79.75
533052.91 152477.53 5.20 15.30 124.75
533156.53 152788.47 11.01 18.80 168.00
533351.25 152319.91 7.49 10.50 117.00
533261.31 152676.68 13.38 18.60 172.50
533368.95 152524.12 5.71 15.90 54.00
533393.10 152564.15 4.66 12.30 111.25
532986.27 152349.52 10.29 13.40 23.75
533041.16 152595.93 12.11 18.40 199.75
532608.82 152016.18 11.31 16.90 251.00
533199.20 152743.64 6.86 15.50 143.75
533387.84 152407.76 21.33 27.60 22.50
533280.64 152212.08 7.28 10.30 4.50
533268.17 152733.04 20.19 23.80 198.00
533182.39 152808.51 8.93 17.70 155.50
533468.22 152420.31 7.31 12.60 124.25
533069.68 153142.76 20.73 25.60 202.50
533011.02 152385.57 6.88 12.10 159.75
533074.69 152345.65 5.82 9.40 129.75
533174.23 152659.79 5.52 11.00 131.75
533351.28 152656.60 6.31 9.20 158.25
532974.63 152701.37 6.60 10.60 44.50
533183.45 153011.70 7.20 10.70 62.75
532806.89 152639.01 6.23 13.30 194.50
533038.23 152969.65 4.91 12.20 46.75
533387.01 152346.61 8.73 12.80 222.75
532998.94 153003.10 4.87 8.00 70.00
533212.33 152871.77 5.18 8.50 61.25
533101.06 152895.49 9.10 15.70 163.50
533497.64 152603.95 9.13 15.10 105.00
532886.14 152808.94 5.03 6.70 16.50
532671.50 151993.67 16.48 20.20 226.25
533219.46 152752.81 6.36 15.60 141.50
533434.20 152578.41 4.17 5.90 41.75
533453.47 152376.05 5.66 9.20 57.00
533093.95 152930.56 8.44 17.80 189.00
533332.76 152342.58 8.72 14.40 239.25
532938.44 152481.03 7.01 18.00 23.25
533121.79 152627.90 5.75 10.20 107.00
532791.84 152202.07 6.74 19.20 45.00
533014.90 152605.78 4.59 6.30 115.00
533408.05 152694.43 5.95 11.80 109.75
533049.51 152385.75 7.10 13.10 173.50
532754.40 152515.42 6.21 19.60 129.25
533065.10 153155.02 17.86 24.90 206.00
533129.42 152849.40 13.82 19.40 221.25
532842.77 152277.49 13.76 19.00 31.25
533080.63 153117.14 11.81 19.90 173.50
532619.37 152086.99 5.21 12.20 37.50
532612.88 151972.29 15.14 17.80 224.75
533338.79 152569.44 6.81 19.10 58.00
532758.76 152252.78 7.35 17.30 72.00
533140.22 152254.58 5.96 7.70 4.50
533287.15 152706.69 14.85 21.50 203.50
533085.57 152789.12 6.75 11.20 188.75
532962.04 152894.94 9.32 15.30 117.50
533287.02 152739.47 12.84 19.90 251.00
533249.34 152720.89 6.38 15.40 136.00
533384.76 152712.87 14.62 20.10 170.50
532622.11 152112.38 4.59 11.00 57.00
532678.47 152310.79 6.20 11.00 164.50
533162.90 152856.79 6.61 13.20 179.75
532626.16 151983.26 16.63 19.50 220.00
533411.29 152663.76 9.22 16.60 231.75
533058.93 153187.04 8.77 16.00 214.25
532950.50 152379.85 8.54 17.20 106.25
533404.89 152608.03 5.20 8.70 135.75
532937.66 152902.04 7.99 12.50 126.50
532890.82 152446.71 12.56 20.80 37.00
533246.19 152704.53 18.12 25.10 198.25
533160.20 152914.26 17.70 23.40 201.00
533101.53 152911.71 18.85 25.30 196.00
533485.11 152700.90 11.81 20.50 161.75
533192.09 152638.56 6.54 12.10 159.25
532989.41 153052.85 6.40 11.90 134.50
533507.52 152384.00 19.77 34.40 32.00
533235.73 152418.12 8.76 14.20 162.25
533172.55 152793.43 15.60 22.90 181.00
532869.10 152335.49 6.28 20.20 100.00
533284.29 152685.85 7.29 12.90 138.50
532933.07 152572.49 7.85 20.40 38.00
533139.34 152893.94 17.84 26.20 213.75
532708.83 152403.42 4.25 9.00 83.75
533436.97 152726.71 21.46 28.30 104.75
533431.56 152400.95 7.43 11.80 178.50
532760.99 152158.66 4.25 10.50 37.75
532663.93 152020.07 13.49 17.60 185.75
532657.82 151968.32 12.13 16.70 215.50
532999.58 153099.91 6.93 11.90 110.75
533041.85 153149.74 5.64 11.40 54.25
533064.21 152409.52 17.44 22.20 140.00
532924.55 152322.89 9.13 17.00 24.25
532773.59 152564.51 4.28 7.20 93.00
533066.12 152930.70 7.79 12.80 71.75
533367.95 152713.40 18.22 23.30 166.75
532962.45 153011.89 7.22 15.50 47.75
533174.34 152890.27 9.69 18.20 167.75
533420.83 152390.85 6.66 10.70 207.25
532638.64 151990.21 17.02 19.90 214.75
533035.06 152999.11 4.46 12.10 82.25
533101.18 153050.28 7.04 12.10 170.75
533135.71 152784.05 8.65 13.90 166.50
532954.62 152136.24 8.28 16.00 45.75
533126.06 152832.81 7.29 15.30 182.25
533313.96 152372.64 4.24 8.80 48.00
533210.27 152842.34 5.87 9.20 129.00
533466.70 152247.36 4.60 8.80 29.75
533195.14 152624.34 8.42 16.10 131.25
